,Court,Surface,Round,PlayerA,PlayerA_Pts,PA_B365,PA_EX,PA_LB,PA_PS,PA_MaxBet,PA_AvgBet,PlayerB,PlayerB_Pts,PB_B365,PB_EX,PB_LB,PB_PS,PB_MaxBet,PB_AvgBet,Rank_Diff,Pt_Diff
11291,1,1,2,117.0,483.0,4.5,4.0,3.75,4.6,4.6,4.21,21.0,1635.0,1.18,1.2,1.25,1.24,1.25,1.22,96.0,-1152.0
11292,1,2,1,142.0,365.0,4.5,3.75,3.75,4.8,4.8,4.2,57.0,855.0,1.16,1.25,1.25,1.23,1.25,1.22,85.0,-490.0
11293,1,2,5,73.0,631.0,4.5,4.25,4.0,4.19,4.5,4.24,29.0,1250.0,1.16,1.2,1.222,1.281,1.28,1.22,44.0,-619.0
11294,1,2,1,38.0,1030.0,4.5,4.0,3.75,4.65,4.65,4.23,26.0,1342.0,1.18,1.22,1.25,1.24,1.25,1.22,12.0,-312.0
11295,1,2,2,77.0,621.0,4.5,4.25,4.5,5.52,5.52,4.69,29.0,1250.0,1.16,1.2,1.167,1.193,1.2,1.18,48.0,-629.0
11296,1,1,7,19.0,1633.0,4.5,4.5,4.33,5.45,5.45,4.7,4.0,6865.0,1.2,1.18,1.22,1.2,1.22,1.2,15.0,-5232.0
11297,1,2,1,50.0,958.0,4.5,4.25,4.0,4.65,4.65,4.35,12.0,2350.0,1.16,1.2,1.22,1.23,1.23,1.2,38.0,-1392.0
11298,1,3,1,97.0,587.0,4.5,4.3,4.0,5.13,5.13,4.48,28.0,1375.0,1.18,1.2,1.22,1.2,1.22,1.2,69.0,-788.0
11299,1,3,1,73.0,707.0,4.5,4.5,4.5,4.55,4.55,4.51,32.0,1200.0,1.18,1.18,1.17,1.24,1.24,1.19,41.0,-493.0
11300,0,1,5,59.0,804.0,4.5,4.5,4.5,4.72,4.72,4.56,7.0,4550.0,1.18,1.18,1.17,1.24,1.24,1.19,52.0,-3746.0
11301,1,2,5,82.0,621.0,4.5,4.25,4.0,4.7,4.7,4.36,4.0,5545.0,1.2,1.2,1.22,1.24,1.24,1.22,78.0,-4924.0
11302,0,1,2,53.0,856.0,4.5,4.75,4.33,5.33,5.33,4.73,6.0,4980.0,1.18,1.17,1.2,1.2,1.2,1.19,47.0,-4124.0
11303,1,2,1,80.0,660.0,4.5,4.5,3.75,4.89,4.89,4.41,27.0,1315.0,1.16,1.18,1.25,1.21,1.25,1.2,53.0,-655.0
11304,1,3,1,613.0,45.0,4.5,4.3,4.33,4.9,4.9,4.51,36.0,1135.0,1.18,1.2,1.2,1.21,1.21,1.2,577.0,-1090.0
11305,1,1,1,74.0,678.0,4.5,4.25,4.33,5.2,5.2,4.57,43.0,1043.0,1.16,1.2,1.2,1.2,1.2,1.19,31.0,-365.0
11306,1,3,2,105.0,552.0,4.5,3.9,4.33,4.72,4.72,4.36,37.0,1135.0,1.18,1.2,1.22,1.23,1.23,1.21,68.0,-583.0
11307,1,2,1,92.0,561.0,4.5,4.5,4.0,4.5,4.5,4.38,27.0,1295.0,1.18,1.18,1.22,1.25,1.25,1.21,65.0,-734.0
